Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
06/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,2942.634
07/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,2917.42
10/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,2870.659
11/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,2977.029
12/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,2952.697
13/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,2969.338
14/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,2908.488
17/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,2879.936
18/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,3000.605
19/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,2927.645
20/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,2995.924
21/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,2995.924
24/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,3043.555
25/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,3053.354
26/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,3027.894
27/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,2993.505
28/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,2969.531
31/03/2008,#N/A N/A,#N/A N/A,#N/A N/A,2987.288
01/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3093.01
02/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3088.307
03/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3093.178
04/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3096.894
07/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3101.61
08/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3088.153
09/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3062.518
10/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3078.24
11/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3015.294
14/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3005.448
15/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3018.834
16/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3088.343
17/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3089.406
18/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3144.273
21/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3140.715
22/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3113.764
23/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3122.574
24/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3141.224
25/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3161.838
28/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3158.538
29/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3145.073
30/04/2008,#N/A N/A,#N/A N/A,#N/A N/A,3134.117
01/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3186.165
02/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3196.365
05/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3184.122
