Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
17/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,102.885
20/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,104.039
21/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,103.849
22/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,104.014
23/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,97.941
24/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,98.695
27/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,99.876
28/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,103.58
29/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,103.802
30/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,103.664
31/10/2003,#N/A N/A,#N/A N/A,#N/A N/A,103.956
03/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,105.835
04/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,106.17
05/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,105.635
06/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,103.061
07/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,103.296
10/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,102.615
11/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,100.85
12/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,101.312
13/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,103.119
14/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,103.035
17/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,101.534
18/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,101.872
19/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,100.237
20/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,98.703
21/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,98.507
24/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,98.7
25/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,100.064
26/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,101.096
27/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,101.931
28/11/2003,#N/A N/A,#N/A N/A,#N/A N/A,105.001
01/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,108.175
02/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,107.818
03/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,108.428
04/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,107.779
05/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,107.749
08/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,107.879
09/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,111.905
10/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,112.913
11/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,113.96
12/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,115.026
15/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,111.724
16/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,110.659
17/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,109.394
18/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,111.83
19/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,115.081
22/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,117.352
23/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,116.185
24/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,116.988
25/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,116.972
26/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,116.988
29/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,117.924
30/12/2003,#N/A N/A,#N/A N/A,#N/A N/A,119.705
